Date,Amount
2024-10-30 11:07,5.61
2024-10-31 19:32,11.98
2024-10-28 08:43,8.35
2024-10-27 13:10,4.77
2024-10-27 07:43,12.47
2024-10-26 18:51,13.01
2024-10-26 17:58,5.42
2024-10-26 16:53,5.42
2024-10-26 12:57,4.34
2024-10-26 11:42,8.46
2024-10-26 08:41,49.47
2024-10-24 03:26,11.70
2024-10-25 16:03,5.42
2024-10-25 12:09,30.28
2024-10-25 04:35,5.41
2024-10-25 09:01,0.02
2024-10-25 08:12,3.24
2024-10-24 14:30,29.20
2024-10-23 14:55,11.46
2024-11-03 13:45,11.78
2024-11-03 07:56,6.87
2024-11-02 06:27,7.39
2024-10-30 11:07,5.61
2024-10-31 19:32,11.98
2024-10-28 08:43,8.35
2024-10-27 13:10,4.77
2024-10-27 07:43,12.47
2024-10-26 18:51,13.01
2024-10-26 17:58,5.42
2024-10-26 16:53,5.42
2024-10-26 12:57,4.34
2024-10-26 11:42,8.46
2024-10-26 08:41,49.47
2024-10-24 03:26,11.70
2024-10-25 16:03,5.42
2024-10-25 12:09,30.28
2024-10-25 04:35,5.41
2024-10-25 09:01,0.02
2024-10-25 08:12,3.24
2024-10-24 14:30,29.20
2024-10-23 14:55,11.46
2024-11-06 09:27,12.32
2024-11-05 01:20,5.24
2024-11-04 15:56,16.05
2024-11-04 10:58,8.87
2024-11-03 13:45,11.78
2024-11-03 07:56,6.87
2024-11-02 06:27,7.39
2024-10-30 11:07,5.61
2024-10-31 19:32,11.98
2024-10-28 08:43,8.35
2024-10-27 13:10,4.77
2024-10-27 07:43,12.47
2024-10-26 18:51,13.01
2024-10-26 17:58,5.42
2024-10-26 16:53,5.42
2024-10-26 12:57,4.34
2024-10-26 11:42,8.46
2024-10-26 08:41,49.47
2024-10-24 03:26,11.70
2024-10-25 16:03,5.42
2024-10-25 12:09,30.28
2024-10-25 04:35,5.41
2024-10-25 09:01,0.02
2024-10-25 08:12,3.24
2024-10-24 14:30,29.20
2024-10-23 14:55,11.46
2024-11-07 04:11,8.67
2024-11-06 15:22,4.92
2024-11-06 13:35,4.37
2024-11-06 09:27,12.32
2024-11-05 01:20,5.24
2024-11-04 15:56,16.05
2024-11-04 10:58,8.87
2024-11-03 13:45,11.78
2024-11-03 07:56,6.87
2024-11-02 06:27,7.39
2024-10-30 11:07,5.61
2024-10-31 19:32,11.98
2024-10-28 08:43,8.35
2024-10-27 13:10,4.77
2024-10-27 07:43,12.47
2024-10-26 18:51,13.01
2024-10-26 17:58,5.42
2024-10-26 16:53,5.42
2024-10-26 12:57,4.34
2024-10-26 11:42,8.46
2024-10-26 08:41,49.47
2024-10-24 03:26,11.70
2024-10-25 16:03,5.42
2024-10-25 12:09,30.28
2024-10-25 04:35,5.41
2024-10-25 09:01,0.02
2024-10-25 08:12,3.24
2024-10-24 14:30,29.20
2024-10-23 14:55,11.46
2024-11-12 13:34,1.81
2024-11-12 06:37,1.71
2024-11-12 05:20,12.19
2024-11-11 14:46,4.00
2024-11-11 14:00,3.93
2024-11-11 06:44,1.39
2024-11-11 06:23,7.57
2024-11-10 15:12,10.94
2024-11-10 07:38,18.38
2024-11-09 22:52,8.60
2024-11-09 21:57,21.62
2024-11-09 21:05,11.67
2024-11-09 20:17,10.81
2024-11-09 12:19,12.54
2024-11-07 04:11,8.67
2024-11-06 15:22,4.92
2024-11-06 13:35,4.37
2024-11-06 09:27,12.32
2024-11-05 01:20,5.24
2024-11-04 15:56,16.05
2024-11-04 10:58,8.87
2024-11-03 13:45,11.78
2024-11-03 07:56,6.87
2024-11-02 06:27,7.39
2024-10-30 11:07,5.61
2024-10-31 19:32,11.98
2024-10-28 08:43,8.35
2024-10-27 13:10,4.77
2024-10-27 07:43,12.47
2024-10-26 18:51,13.01
2024-10-26 17:58,5.42
2024-10-26 16:53,5.42
2024-10-26 12:57,4.34
2024-10-26 11:42,8.46
2024-10-26 08:41,49.47
2024-10-24 03:26,11.70
2024-10-25 16:03,5.42
2024-10-25 12:09,30.28
2024-10-25 04:35,5.41
2024-10-25 09:01,0.02
2024-10-25 08:12,3.24
2024-10-24 14:30,29.20
2024-10-23 14:55,11.46
2024-11-13 08:10,7.59
2024-11-12 13:34,1.81
2024-11-12 06:37,1.71
2024-11-12 05:20,12.19
2024-11-11 14:46,4.00
2024-11-11 14:00,3.93
2024-11-11 06:44,1.39
2024-11-11 06:23,7.57
2024-11-10 15:12,10.94
2024-11-10 07:38,18.38
2024-11-09 22:52,8.60
2024-11-09 21:57,21.62
2024-11-09 21:05,11.67
2024-11-09 20:17,10.81
2024-11-09 12:19,12.54
2024-11-07 04:11,8.67
2024-11-06 15:22,4.92
2024-11-06 13:35,4.37
2024-11-06 09:27,12.32
2024-11-05 01:20,5.24
2024-11-04 15:56,16.05
2024-11-04 10:58,8.87
2024-11-03 13:45,11.78
2024-11-03 07:56,6.87
2024-11-02 06:27,7.39
2024-10-30 11:07,5.61
2024-10-31 19:32,11.98
2024-10-28 08:43,8.35
2024-10-27 13:10,4.77
2024-10-27 07:43,12.47
2024-10-26 18:51,13.01
2024-10-26 17:58,5.42
2024-10-26 16:53,5.42
2024-10-26 12:57,4.34
2024-10-26 11:42,8.46
2024-10-26 08:41,49.47
2024-10-24 03:26,11.70
2024-10-25 16:03,5.42
2024-10-25 12:09,30.28
2024-10-25 04:35,5.41
2024-10-25 09:01,0.02
2024-10-25 08:12,3.24
2024-10-24 14:30,29.20
2024-10-23 14:55,11.46
2024-11-13 15:26,10.76
2024-11-13 08:10,7.59
2024-11-12 13:34,1.81
2024-11-12 06:37,1.71
2024-11-12 05:20,12.19
2024-11-11 14:46,4.00
2024-11-11 14:00,3.93
2024-11-11 06:44,1.39
2024-11-11 06:23,7.57
2024-11-10 15:12,10.94
2024-11-10 07:38,18.38
2024-11-09 22:52,8.60
2024-11-09 21:57,21.62
2024-11-09 21:05,11.67
2024-11-09 20:17,10.81
2024-11-09 12:19,12.54
2024-11-07 04:11,8.67
2024-11-06 15:22,4.92
2024-11-06 13:35,4.37
2024-11-06 09:27,12.32
2024-11-05 01:20,5.24
2024-11-04 15:56,16.05
2024-11-04 10:58,8.87
2024-11-03 13:45,11.78
2024-11-03 07:56,6.87
2024-11-02 06:27,7.39
2024-10-30 11:07,5.61
2024-10-31 19:32,11.98
2024-10-28 08:43,8.35
2024-10-27 13:10,4.77
2024-10-27 07:43,12.47
2024-10-26 18:51,13.01
2024-10-26 17:58,5.42
2024-10-26 16:53,5.42
2024-10-26 12:57,4.34
2024-10-26 11:42,8.46
2024-10-26 08:41,49.47
2024-10-24 03:26,11.70
2024-10-25 16:03,5.42
2024-10-25 12:09,30.28
2024-10-25 04:35,5.41
2024-10-25 09:01,0.02
2024-10-25 08:12,3.24
2024-10-24 14:30,29.20
2024-10-23 14:55,11.46
2024-11-13 15:26,10.76
2024-11-13 08:10,7.59
2024-11-12 13:34,1.81
2024-11-12 06:37,1.71
2024-11-12 05:20,12.19
2024-11-11 14:46,4.00
2024-11-11 14:00,3.93
2024-11-11 06:44,1.39
2024-11-11 06:23,7.57
2024-11-10 15:12,10.94
2024-11-10 07:38,18.38
2024-11-09 22:52,8.60
2024-11-09 21:57,21.62
2024-11-09 21:05,11.67
2024-11-09 20:17,10.81
2024-11-09 12:19,12.54
2024-11-07 04:11,8.67
2024-11-06 15:22,4.92
2024-11-06 13:35,4.37
2024-11-06 09:27,12.32
2024-11-05 01:20,5.24
2024-11-04 15:56,16.05
2024-11-04 10:58,8.87
2024-11-03 13:45,11.78
2024-11-03 07:56,6.87
2024-11-02 06:27,7.39
2024-10-30 11:07,5.61
2024-10-31 19:32,11.98
2024-10-28 08:43,8.35
2024-10-27 13:10,4.77
2024-10-27 07:43,12.47
